Provinsi,Sekolah,Siswa,Mengulang,Putus Sekolah,Kepala Sekolah dan Guru(<S1),Kepala Sekolah dan Guru(≥ S1),Tenaga Kependidikan(SM),Tenaga Kependidikan(>SM),Rombongan Belajar,Ruang kelas(baik),Ruang kelas(rusak ringan),Ruang kelas(rusak sedang),Ruang kelas(rusak berat),Rasio_Putus_Sekolah,Siswa_per_Sekolah,Total_Guru,Rasio_Siswa_Guru,Persen_Rusak_Berat
Prov. D.K.I. Jakarta,0.10808585104740337,756455,0.11759876859928167,0.14178571428571426,0.2054350030419793,0.18129615616708653,0.25305765870704716,0.41017571466037245,0.15946940298949588,0.38519949828807754,0.08109169448262321,0.020567643726578162,0.023624235686492495,0.0910034082074309,1.0,0.18185305965854592,0.3825924888450479,0.02666453685372667
Prov. Jawa Barat,1.0000000000000002,4487262,0.48455618265777317,1.0,1.0000000000000002,1.0,1.0000000000000002,0.8780487804878049,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.0,0.10310529716790685,0.5410500416755194,1.0,0.4540839223451571,0.4011207186236518
Prov. Jawa Tengah,0.9518760615574656,2595050,0.7032324268855823,0.415,0.45852768201176236,0.8002078524152066,0.7756988934187536,0.6472593758195646,0.7485766421195443,0.8552154310315603,0.9203700067630953,0.7643726578159952,0.9346859366314619,0.06758224596144592,0.16726963476828394,0.7923250036260193,0.2213748203612083,0.43722497537680216
Prov. D.I. Yogyakarta,0.08863039785887077,270610,0.030887634684453567,0.0,0.050699655242344356,0.09253263857625883,0.1645675596971462,0.22580645161290322,0.07586897405667364,0.12920776975490694,0.08091716299059712,0.05281352584028121,0.03772929405225125,0.0,0.19717222248143496,0.09156751648084291,0.14699103322877455,0.14528519724375
Prov. Jawa Timur,0.9705080034999228,2530849,0.4759363776295536,0.5807142857142857,0.5828432366659907,0.8621325466231166,0.7680911473500291,0.9999999999999999,0.7927614624002465,0.9845248991491237,0.9321508824748566,0.7032797838654388,0.9994441356309061,0.10831387450108791,0.14221086671104222,0.8556891074377845,0.1606780499631641,0.44464010406185367
Prov. Aceh,0.17540789541407176,489863,0.13853258081067213,0.14821428571428572,0.4027580612451836,0.22528519841763966,0.2187317996505533,0.2861264096511933,0.1476145055127347,0.16385301196650734,0.15956541658485504,0.17624843854399677,0.21657865480822677,0.16394953649553695,0.1644027801489154,0.22937964656838203,0.0,0.5057990484807798
Prov. Sumatera Utara,0.49549642287302487,1524481,0.4966649563878912,0.7705357142857143,0.6495639829649158,0.5179500196358272,0.4419772859638905,0.5271439811172305,0.43874969637006717,0.5615783585884266,0.45888692540960363,0.4320076692908811,0.6507782101167315,0.2717190620127831,0.23760961058999008,0.5209864644205621,0.15360626833168883,0.5172237083460255
Prov. Sumatera Barat,0.2100983066550003,592365,0.470702924576706,0.13982142857142857,0.19184749543703103,0.22324498807482687,0.3286255096097845,0.5670076055599266,0.1810997031832266,0.19610834265568325,0.19530073957719749,0.22935246782674376,0.24979155086158977,0.12228893050088559,0.17330166485069365,0.22252062152311528,0.09991556862123413,0.477673967074757
Prov. Riau,0.18997375057903138,776574,0.45048742945100045,0.2344642857142857,0.4335834516325289,0.23879081617992162,0.26503348864298193,0.3485444531864674,0.20265890953901572,0.26002576358520624,0.18709775945197113,0.18734567004619007,0.2580600333518621,0.1576728834788326,0.433471824487045,0.24328484604623524,0.20119583303214378,0.46334781141584436
Prov. Jambi,0.12043851973853519,368620,0.20010261672652643,0.1357142857142857,0.22328128168728453,0.12429478644840565,0.16551397786837507,0.2069236821400472,0.10662890793940435,0.10615614088613172,0.12256474027532342,0.1363042152049502,0.16481378543635353,0.20756525734724285,0.20965657950976357,0.12657848811367453,0.14289624501779224,0.5272742350109428
Prov. Sumatera Selatan,0.23650213598229453,882011,0.6580810672139559,0.3394642857142857,0.4248631109308457,0.2806917558260936,0.35414239953407106,0.4382376081825335,0.23579456250629477,0.25024577104308615,0.23278137748980082,0.2514597797983906,0.24437187326292384,0.20496862254102324,0.36439842384508647,0.28401791019636646,0.18558062614953857,0.3943199492446832
Prov. Lampung,0.23686242215245254,798892,0.24176500769625447,0.13535714285714284,0.4096532143581424,0.2632685510675185,0.2392981945253349,0.2140047206923682,0.22173575605334409,0.22014305569680329,0.23871544821868798,0.27429335037620195,0.26952473596442467,0.0799274310802932,0.29029452806417644,0.26664576831841597,0.16442260460471075,0.4422837410297945
Prov. Kalimantan Barat,0.2225024447990118,563178,0.9999999999999999,0.22303571428571428,0.3396876901237072,0.18157872051033994,0.15728741991846246,0.13086808287437712,0.18012808739802477,0.17431099359300314,0.1826253899688025,0.21015019027975484,0.2836297943301834,0.21651691922040325,0.1144155004813715,0.1852264273649834,0.17055874424213374,0.5845533467121089
Prov. Kalimantan Tengah,0.13001183797416235,276421,0.2821959979476654,0.10714285714285715,0.157980125735145,0.11771917893506766,0.0750946418171229,0.06110674009965906,0.09941880787482744,0.10418997254144208,0.11078386456356219,0.12758911193097638,0.14480266814897164,0.22601613946949772,0.021777877269499035,0.11864803282600252,0.03256448942534612,0.4927422712328711
Prov. Kalimantan Selatan,0.14390859025168565,353174,0.3227296049256028,0.08160714285714286,0.14439261813019671,0.13841342515876284,0.14669481654047759,0.2564909520062943,0.11790320573964251,0.14315739516593784,0.12836791238519102,0.14763384946111613,0.11346581434130072,0.12833492616696143,0.09080342715140144,0.1385513701674519,0.07524728343394571,0.31716259330746666
Prov. Kalimantan Timur,0.09290236244788717,419472,0.20595177013853258,0.10607142857142858,0.12228756844453458,0.12110516182795182,0.2109784507862551,0.20928402832415421,0.10469752534199098,0.1539543713346215,0.09300346881340402,0.06730964761932429,0.10366870483602,0.13757722532970468,0.49112084642280207,0.12113244094267145,0.24613636518912135,0.35607688907627927
Prov. Sulawesi Utara,0.10731380925420762,218823,0.06895844022575678,0.0642857142857143,0.1587913202190225,0.08819838890432083,0.031122597553873036,0.032782585890375034,0.07980875757593711,0.09595240516627682,0.07718655234853938,0.09054992301658775,0.13333796553640911,0.1786136804756868,0.0,0.08982702717876977,0.04960200880169746,0.5625775021983677
Prov. Sulawesi Tengah,0.14514385712079883,312352,0.30251410979989735,0.17107142857142857,0.38491178259987835,0.12454861543471805,0.2622306348281887,0.16784683975872017,0.10914089021334077,0.12095325265263228,0.11078386456356219,0.13772768207303257,0.20025013896609226,0.3163525002541159,0.029194782498943694,0.13055541259421802,0.045208567752315354,0.6175107290058435
Prov. Sulawesi Selatan,0.32477224767100726,883153,0.3328886608517188,0.27464285714285713,0.31251267491381063,0.32844034060976424,0.42479615608619686,0.5969053238919486,0.2719694770455771,0.2629580663751313,0.2569976220084212,0.3811114661708741,0.41585603112840464,0.1617523370519163,0.15847360074514982,0.32807287597142226,0.10739940975677326,0.5570773815710908
Prov. Sulawesi Tenggara,0.11441659375160843,294170,0.16285274499743457,0.12660714285714286,0.18576353680794971,0.12509458721659755,0.1268928363424578,0.1028061893522161,0.09458442689479889,0.08937591104783212,0.0916508497502018,0.12163379136042762,0.18753474152306837,0.24931943498043618,0.1090084203558368,0.12649427088938067,0.03232704229822764,0.6994822397932086
Prov. Maluku,0.08703484481959957,206984,0.19261159569009748,0.17875,0.3942405191644697,0.07615348511987431,0.08161036691904486,0.04668240230789405,0.0652108228519293,0.06693447235499508,0.04989419028295918,0.10246056415768527,0.15459977765425237,0.5138163926510043,0.06214309666906803,0.08349202041799815,0.05671468913477273,0.7776289484206318
Prov. Bali,0.1176076998301508,383616,0.013032324268855824,0.018571428571428572,0.0547556276617319,0.11804005708757577,0.2527300524170064,0.31235247836349334,0.09724452133111362,0.13647920268483676,0.10179549272421842,0.08810969409987508,0.07900222345747637,0.01978089635138362,0.24964683594865078,0.11658003209611992,0.21320118281645134,0.269032567829857
Prov. Nusa Tenggara Barat,0.16501106593236917,512620,0.1482811698306824,0.20714285714285713,0.24274994930034474,0.20215323608011418,0.16216511357018057,0.2058746393915552,0.1374658601465718,0.12205498491474286,0.16687392281344768,0.18499259216221714,0.10526681489716509,0.2225983633650942,0.22764975677057775,0.20308983638464811,0.0731960038835171,0.26905905274174136
Prov. Nusa Tenggara Timur,0.2625456791394307,663307,0.9062083119548485,0.48142857142857143,0.483066315149057,0.2512859072231109,0.3212361677344205,0.31130343561500134,0.21372585031192423,0.209278280619682,0.2574775836114929,0.2914040031374372,0.4656753752084491,0.4072263005431115,0.11568680651144769,0.25663327609681236,0.08591840545584567,0.71431917607573
Prov. Papua,0.03638890318595914,116836,0.15895330938943047,0.10285714285714287,0.15311295883187995,0.030469056809800672,0.025917297612114153,0.03094676108051403,0.030321521882090873,0.02400081358690125,0.025939743002377995,0.05272637480754147,0.060241801000555865,0.5528062132950265,0.17230106620490837,0.03329855473885642,0.2217922690744008,0.6348370252716005
Prov. Bengkulu,0.06603530804467549,194870,0.12898922524371473,0.05625,0.08740620563780167,0.07617264202450166,0.086924868957484,0.09388932599003409,0.057212766083499705,0.06166310722397368,0.0698562296834435,0.09731865322604073,0.049471928849360754,0.18001545851546696,0.16360446042777133,0.07643180978136271,0.06861845407732176,0.2539877255266119
Prov. Maluku Utara,0.06140305728550105,141138,0.10979989738327346,0.09910714285714287,0.28168728452646524,0.051589544161454386,0.05390943506115317,0.01966955153422502,0.044830589308671676,0.033051967863317405,0.04358924013351659,0.08453650175754583,0.08782657031684268,0.43710357049137055,0.03362688988500767,0.05689809247986974,0.05087208908809632,0.629294951924149
Prov. Banten,0.2308919656184055,1203432,0.25602873268342735,0.30428571428571427,0.3009531535185561,0.2698681047116407,0.24228305183459523,0.36034618410700237,0.2573478443755888,0.3417573477067019,0.22715273687195936,0.1774395026581065,0.23825736520289048,0.12540450243844578,0.6719478152543651,0.2705852629214955,0.4408614939150844,0.35839424692555105
Prov. Kepulauan Bangka Belitung,0.03649184209171856,161703,0.11759876859928167,0.045892857142857145,0.024741431758264043,0.04371126713345657,0.12143273150844497,0.18463152373459218,0.03503741313221677,0.046849045730363734,0.034273621746623906,0.03706823925863522,0.07240133407448582,0.18542501790035515,0.39432676817673085,0.043273617082996076,0.2733649582006075,0.621507250614277
Prov. Gorontalo,0.04153584847393073,108058,0.1426372498717291,0.06839285714285714,0.016832285540458326,0.03833775538548481,0.05077897495631916,0.07684238132703908,0.030671066585303722,0.041323434692701444,0.028841329057311783,0.04630624872904744,0.04231517509727627,0.41358586871519615,0.07054646265173276,0.037841606116041974,0.1091799802547932,0.3912740727390483
Prov. Kepulauan Riau,0.044160790570796235,227249,0.06105695228322216,0.05535714285714286,0.10079091462178058,0.06421873353703507,0.135082993593477,0.1035929714135851,0.05307155002340172,0.08993525204244211,0.04103671706263499,0.024779943642332165,0.044816564758199,0.14794630803535946,0.5490235988432679,0.06506248450169136,0.24066312867837353,0.2877416628005864
Prov. Papua Barat,0.02290390653147357,71737,0.20451513596716264,0.07125000000000001,0.09267896978300548,0.021288110267143036,0.014269073966220151,0.013113034356150011,0.018620661054203128,0.018000610190175938,0.02212186661430722,0.02114865061150975,0.02320733740967204,0.6609247621918942,0.11206492699408932,0.022935157416028407,0.1367617349667783,0.37044064984314024
Prov. Sulawesi Barat,0.06202069072005764,143300,0.10631092868137505,0.07785714285714286,0.1946866761306023,0.060473558682388094,0.14072510192195692,0.0959874114870181,0.04813052828646078,0.033492660768161625,0.041363963610183914,0.0733230688783662,0.1424402445803224,0.3433706788048998,0.036361107095111866,0.0635699681378168,0.011002566117465418,1.0
Prov. Kalimantan Utara,0.01858047248957744,79877,0.03160595177013853,0.020178571428571428,0.01865747312918272,0.0268148772521336,0.04255241700640652,0.04222397062680304,0.019124242406289436,0.02342452286518187,0.0156642014093418,0.015687185893152836,0.0400917176209005,0.216796162352685,0.2722624276311161,0.02662667908090936,0.12165165018094709,0.6437062715095202
Luar Negeri,0.0,17789,0.0,0.0025000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49341774290853213,0.18417633844976533,0.0,0.9828631777423253,0.0
Prov. Papua Tengah,0.022080395285398118,143052,0.3781426372498717,0.18410714285714286,0.15027377813830867,0.01849120219154989,0.008226557949912637,0.007867820613690006,0.02477620252264635,0.018458252822129564,0.02818683596221393,0.02963135113151091,0.02056698165647582,0.7782758695340828,0.6621391142647869,0.02153153701113071,0.7396217465044799,0.28118722963754067
